text,star
그냥 기대없이 생각없이 가볍게 웃을수 있는 영화ㅋㅋ 유치하고 별거없긴한데 마약가틈 ㅋㅋ 집에오니 자꾸 생각남 ㅋㅋㅋ 캐릭터들이 개성 뚜렷하고 다 좋다,1
근래에 정말  재밌게 본 영화입니다.다른분들이 보신다면 적근 추천드리고싶어요 배우들이 고생 많았을듯하고요 즐거운 영화보고싶으시면 꼭 극한직업 을 보시기바랍니다~~^^,1
재밌어요.웃겨요.굿입니다.,1
요즘 한국 영화 왜이러냐,0
재밌게 봤어요 이하늬 완전 욱겨ㅛ,1
재밌어요! 예고편이 다일까봐 좀 걱정했는데 아니었구 계속 웃으면서 재밌게 봤습니당,1
스토리전개는 좋았으나 다소 이해도가 떨어짐..그래도 생각보다 괜찮았음,1
재밌어요호호 너무너무너무,1
남자친구와 끝나고 외쳤어요 앙핵망띠,0
영화 끝난후 갑자기 베테랑이 생각났다...너무 재미있다는 말입니다^^,1
부담없이 온가족이 웃으면서 볼수있는영화,1
속편이 나왔으면 하는 영화다,1
그냥 딱 평점 반만주고 싶은 영화안망하면 다행이다,0
거참 그 멋진 원작을 멜로로 망쳐놨어.,0
한국영화치곤좀볼만함 초반엔지루,1
추천합니다 추천해드려요,1
최고였어요!!가족들과 너무 재밌게 봤습니다,1
한국 액션 멜로 호러 영화의 한획을 긋는 대 명작,1
별한개가 아깝다. .시간도아깝고,0
"싸구려 3류 코메디 영화~~ 돈아까워~~ 스트레스쌓여서 결국 반정도 보다 나왓음,,,1200만? 미친나?어이가 없다",0
솔직히 예고편이 다 아니야? 라고 생각 했던 내가 잘 못 생각했네,1
한국영화 오랜만에 재밌게 봤습니다.,1
강동원밖에 기억안남...,0
평점 개 웃겨 ㅋㅋㅋ근데진짜  갑자기  사랑에빠지지 않나 발음도 이상해서 대사 잘 안들림 토 액션은  화려한데  주인공 버프 개 심함 다른차들은 터지고 날라가는데 주인공차는 무적이라든가말도안되는 액션도 많고 개연성도 없고 시나리오는 굉장히 단순한듯,0
잠이 솔솔솔 로맨스는 영..,0
극강의 코미디영화. 꿀잼보장,1
기대없이봤다가 넘 웃어서 눈물이.. 뻔하긴한데 암턴 웃겨요.,1
개꿀잼 친구랑 미친듯이 내내 웃엇어요 ㅋㅋ,1
너무 재밌게 봤습니다~~,1
알바한테 속았네. 완전 유치하고  촌스럽고..잼없고.진짜  짜증나.무슨2000년대 초 영화보는것같았음,0
어제 시사회에 다녀와서 하루 일찍보았네요. 권력이 암투를 이야기하면서 이야기를 풀어갔지만 남북통일을 앞둔 상황이라는 스토리에 개연성이 느껴지진않았습니다. 타워액션씬등은 눈에 좋았습니다.,1
인랑이라고 들어봤나? 액션영화의 가면을 쓴 멜로영화야,0
윈작영화를 보아라 그게 갑인듯,0
개인적으로는 인생 최악의 영화,0
배우들이 다하는 영화. 소소하게 재미있어요,1
감독팬이며 강동원의 영화보는 안목을 좋아해서 봤음.그리고 원작의 워낙 오랜팬이라 실사화 감안하고 보았음. 스토리 각색이 제일 아쉬움. 그리고 마지막 싸우는씬은 마치..90년대 로보캅보다 못해서..수고하신건 알지만 다음 작품 더욱 기대합니다! 힘내시길!,0
개꿀잼진짤루울뻔했음너무웃겨서,1
베테랑+공조+수미네반찬 대박편+부산행~~~~,1
얼굴이 재밌어요~!영화가 아니라 얼굴보러 가는듯,1
클리셰로 점철된 동네맛집 김밥천국 같은 영화,1
졸린데 극장이 시원해서 잠을 못잤어요,0
처음부터 끝까지 엄청 재밌다,1
지금까지 이런 치킨은 없었다..전화멘트 넘웃겨요..웃다가 눈물남ㅋㅋㅋ,1
너무 재미있게 잘 봤습니다. 흥행하세요~,1
진짜대박 너무 재미나게 봤어요,1
난민새끼들 니집에나 데꼬가서 길러라,0
신파없고 액션 시원합니다,1
너문너무너무너무재밌다,1
작정하고 웃기려하니 웃을 준비하고 갔는데 의외의 액션까지.,1
진짜 가족끼리 오랜만에 영화봐서 정말 만족하면서 봤습니다 제가 본 코미디 영화중에 최고가 아닌듯 싶네요,1
ㅋㅋㅋㅋ개재밋음 ㅎㅎ,1
광고 많이 때린 이유가 있었네..이런 재밌는영화 널리 널리 보라구ㅋㅋㅋ진심 첨부터 끝까지 꾸르잼이다ㅋㅋ,1
홍보에 비해서 내용이 약간 실망스러움,1
보는 내내 웃음이 끊이질 않네요~~또 봐도 재밌을 것 같아요,1
잼써요볼만합니다요흐,1
오랜만에 실컷 웃었네요?완전 잼나요~~^^,1
개꿀잼~~~!!!!,1
꿀꿀하니하니개꿀잼잼샤샤샤,1
ㅎㅎ..ㅣㄴ랑인랑인랑10자,0
우리가 어떤 민족입니까!,1
재미도 재미지만 영화 별로라고하는 사람들 ...취향은 존중하지만 영화를 비난하는건 진짜 심리에 문제있는거 같아요. 충분히 잘 만들엇어요. 너무 재밌게 봤습니다.,1
재미있게 잘봤습니다요,1
노잼이다 이배우들가지고 이런걸 만들다니 이것도 능력이다,0
웃다가 눈물남 진짜 재밌음,1
김지운 감독님 이러기에요...?,0
좌파선동영화만 주구장창  보다가 오렌만에 정치색 쫙뺀 진짜 영화 한편본 기분....  이런영화가 많아졌으면 좋겠습니다. 정치쓰레기물 영화가 아닌..,1
너무재밌네요~ 배우분들 다 너무재밌어요,1
이것은 코미디인가 액션인가~극한직업~생각없이보면 재미있습니다~요런 영화 평가 하면서 보면  쫌 세상 깝깝합니다~그냥 신나게 웃고 스트레스 푸세용^^,1
재미있어요. 커플만 없었으면 더 좋았을텐데..,1
액션신도 멋있었고 스토리도 괜찮았던거 같은데 사랑이란 감정은 많이 안어울리는거 같아요 물론 상대가 한효주라 누구나 반하겠지만,1
난민의 아버지는 믿고거름,0
개그콘서트처럼 가볍지만 아무생각없이 웃고싶다면 좋은영화,1
대본도 좋았고 모든 배우들도 맛있게 연기하더라 구멍이없었닼ㅋㅋㅋ진선규 이하늬 공명 배우 조합 좋았다,1
원작도  쓰  레  긱가요?10자,0
아주 아주 재밌네요 많이 웃었어요,1
근래에 돈주고 본 영화 중에 최고 ㄱㄴㅈ... 주연배우들이 대본 읽어보고 출연하기로 결정한건가싶을 정도..,0
보지마세요 시간 돈낭비입니다,0
아 최근에 영화본중에 이렇게 웃긴거 처음!!!확실하게 웃음코드로가서 너무좋았고제생각엔 흥행장담합니다,1
"웃다가 쓰러질뻔~최근 10년동안 본 코믹영화 중 최강~""갑 of 갑""",1
와진짜 인생영화임 처음부터 끝까지 웃음이 안멈춤 진짜 꼭보셈 꼭,1
억지 웃음코드 폭력씬 난무,0
진짜개웃기네ㅋㅋㅋㅋ,1
세번 피식 끝이용 ..그냥 볼거없음 볼만한영화같아요,1
아무런 생각 없이 보면 되는 영화,1
웃기는건 예고편이 다라고 보면 됩니다. 시작과 동시에 기대치가 확 떨어집니다. 통닭집 설정만 재밌을뿐 빵빵 터지는 장면은 없습니다. 그냥 케이블로 보면 만족스러울 정도의 영화.,1
"많이 웃었네요,,,,재미나게 봤습니다.",1
능력자 김여사가 등장한 초반부터 웃음! 큰 한방보단 소소한잽의 성공률 대박!!!,1
지금 까지 본 영화중에 제일 재밌음 ㅋㅋㅋㅋ,1
재밌움! 중후반에 살짝 루즈?,1
재밌다고 해서 봤는데내용도 하나도 없고ㅜㅜ뭐가 재미있는지처음부터 웃기기에만 전념한 영화노잼~~2시간 낭비한 시간이 아까워요,0
볼만하다 재밋다 웃기다,1
요새 영화 다 왼쪽으로 기울어서 목구멍 막혔었는데 정치색 하나 없이 사이다로 뻥 뚫어주는 영화였다,1
진짜 돈버리고 왔다...후,0
개잼 졸잼ㅋㅋ진심 !!!빵터지는영화임,1
재미있어요!가볍게보기좋은 영화네요,1
처음부터 끝까지 즐겁게 웃으면서 볼 수 있는 영화~!! 내 인생에서 가장 많이 웃은 영화 중 하나입니다ㅎㅎ 꼭 보세요~!,1
오랜만에 재밌는 영화 나온듯,1
"전 좋았는데,,ㅜㅜ 아쉽네요ㅜㅜㅜㅜ",1
정우성... 보고싶냐?,0
2시간 내내 웃다가 나왔네요 여친이 갑자기 보고싶네요,1
난민 정우성땜시 망했닼ㅋ,0
너무 재미있게 봤습니다~^^역시 류승룡배우님 ~  최고입니다~~,1
.아직도 무슨내용인지 모르겠어요 ㅜㅜ,0
웃겨서 울었습니다ㅋㅋ 꼭 보세요,1
킬링타임 영화로는 굿. 천만은 안되고 중박정도 칠거 같다.,1
류승룡님 염력세탁하신것 축하드립니다,1
트위터 보니까 후기가 많이 갈리던데 그건 원작팬들의 생각이 달라서 그런 것 같고 전체적으로 스토리는 좀 빈약한건 사실이지만 그래도 액션이 다 커버해줘서 만족스럽게 본 영화,1
아욱겨증말  어거지웃음이아님,1
고민하는 분들은 그냥 꼭 보시길. 여자친구랑 보고 왔는데 가족끼리 봐도 참 좋을 듯.,1
재미잌ㅅ습니다....,1
"에이~뭐 얼마나 재밌겠어 하고 들어갔다가 진짜 너무 재밌어서 놀란 영화.. 이 영화 대박이다 진선규 진짜 성공할 줄 알았다 했는데,,, 설명절 지나더니 천만 바로 찍음^^* 류승룡 이하늬 공명 이동휘 신하균 다 말할것도 없음",1
역시는 역시 드레곤볼 에볼루션을 이을 최고의 작품!,0
똥손들 영화를 골라도 이런걸 찍냐 배우들이 감각이 없어 안될거 뻔히 알면서..진짜  최악 중에 최악!!  중간에 안나가면 후회합니다. 그냥 보지를 마세요 공짜로 보여줘도 보지마세요,0
진선규님 연기 너무 잘하심,1
진짜 재밋어요 호불호없는 재미임. 꼭보세요,1
꾸르잼이었다고 한다.,1
너무 지루하고.. 무슨 이야기를 하려는지 모르겠고.. 갑자기 멜로로 넘어가서 뜬금... 오글거리고.. 차라리 전작 안보고 무슨 내용인지 모르는 미션임파서블 볼걸 그랬어요..,0
극한직업 너무 재밌습니다~~올해 나온 영화 중에 제일 웃긴거 같네요~~~~대박입니다!!!,1
전국의 계신 모든 소상공인 화이팅입니다! 극한직업보고 스트레스 해소하고 오세요^^,1
"정말 아무 생각 없이 웃으며 볼 수 있는 잘 만든 영화지만, 지금까지도 그래왔듯이 작품성 보다는 흥행만을 위한 이런 류의 코미디 영화가 우후죽순 만들어질 것을 생각하면 아쉬울 뿐..",1
재밌게 잘 봤습니다 추천해요,1
흐으으이이잇차아ㅏㅇ아ㅏㅇ앙,1
아 진짜 너무 재밌어요 웃겨 쥭습니다 코미디계의 어벤져스입니다 명품입니다 ㅋㅋ,1
오랜만에맘껏웃었어요~세상에이런맛은없었다~치킨땡기는날입니다^^명절에느끼한음식싫은데 왠지치킨이마구 먹고싶슴다~,1
"아무생각없이 웃을수 있어서 좋았다. 그냥 편안하게 볼수 있는 영화, 오랜만에 큰 소리로 웃을 수 있어 좋은 영화였다. 뒤에 폭력신은 조금 길어져 지루하려고 했지만, 곳곳에 위트가 등장해 견딜만 했다. 추천.",1
졸리내여 엔딩도 넘 뻔한 스토리고 ㅋ,0
처음에시작할때는 너무 가볍다고 느꼈는데끝까지보면 나름 완성도있다고 느끼실꺼에요 잘봤어요 지루하지 않게,1
맥이 끊기는 감은 있었지만 그렇게 나쁘진 않았는데  평점이 이렇게까지 낮게 나오는건 무엇때문인지 잘 모르겠네요,1
끊김 없이 계속 재밌음 계~~~~속 끝까지!!,1
한효주때문에 안볼라다 봤는데 돈이 이렇게 아까운적이 없었음,0
멜로가 없었으면 어땠을까 싶은... 하지만 망작이라고 평가받는것은 좀 아쉽고 안타깝네 잘 봤어요,1
10점들은 팬심인가?,0
진선규씨 이런역도 잘어울리내요,1
리얼봐도 참았는데 이건 도저히 못참겠다..님들 차라리 쉬리를 보세요 이건 70년대 멜로영화보다도 못함;,0
이런 영화가 어찌 천만을 넘는건지 의문입니다..,0
난생처음 영화보다가 튀쳐나온 영화 골든슬럼버도 버텼는데 못버티겠더라구요...,0
완전개재밌음! 중간에 루즈해질만하면 바로 웃기고 타이밍이 좋은영화임 간만에 생각없이 웃을수있는 영화였음,1
스토리는 막 새롭진 않은데 캐릭터 대사 모두 너무 웃겼어요- 간만에 영화관에서 소리내서 웃었네요,1
"영화는 스토리있고 액션은 한국영화들중에서는 ""마이웨이"" 이후 두번째같고 전혀 지루함없이 잘봤다.",1
3점이 0퍼라서 3점 드립니다,0
스토리가 조금 아쉽지만 볼거리가 많아서 올해 한국영화 중에 제일  재밌었음,1
연기력이 대박임 진짜;; 덕분에 더 몰입해서 빠져든거 같음,1
전형적인 한국영화입니다.생각없이 보면되요ㅎ.ㅎ,1
이게 영화야? 돌려줘 내5천5백원~진심.,0
7점 이상 줄 정도의 코믹은 아니었음요피식 웃음 종종 나옵니다빵 터지는 코미디는 아니네요,1
처음부터 끝까지 재밌어요 공명님 너무 귀여워요,1
살다살다 이렇게 웃긴 영화  첨입니다..ㅋ,1
ㅡㆍ꿀잼ㆍㅡ꿀잼ㆍㅡ,1
재밌다는데 자다가 못봤어여 ....,1
"개인적으로 임중경이 특기대에서의 그동안의 감정들과 생각들, 그리고 어쩌면 고통받았을지 모르는심리관점으로 본다면 액션신사이에서의 멜로가아니라 그냥 그 인물자체를 표현한다고 생각했음,, 물론 매끄럽지 않고 개연성도 어색했지만 배우들 한명한명 연기는 좋았음",1
치킨집주인아저씨 역의   김종수배우의연기가  가장  기억에  남네요억지로  웃길려고하지않고  안정감을주네요,1
진짜 재밌어요! 오랜만에 실컷 웃었어요,1
정말 보는 내내 많이 웃었습니다.생각없이 보기에 너무 좋아요,1
데모꾼들 정말 토나온다.  쓰레기들.,0
유쾌상쾌통쾌너무재밌었어요 ㅎㅎ,1
유치하고 시간 아까웠어요.,0
솔직히 재미없었어요 보면서 두번정도 헛웃음? 그것도 어이없어서 보는내내 무표정으로 봤습니다.,0
이건 호가 불보다 압도적일듯 정말 간만에 국산영화로 윸쾌하게 웃으며 본듯,1
겁나재미없음  아까운 시간 낭비,0
대박입니다 또보고싶네요ㅋㅋㅋ,1
그렇게 재미는 없었어요.. 예고편을 보시지 마시고 가세요..,0
평점 8점이상으로 강동원 한효주 정우성 연기 잘 봄~~,1
이렇게 시대착오적으로 후잡할 수가 있나 그나마 영상미와 액션까지도 볼 게 없다. 김지운 감독 왜 이렇게 됐냐,0
아니 내가 재미없대서 별점을 적게주는건데 왜 비추가 닐케 찍히냐? 알바있니?,0
수.면.편.안~~~,0
"제가 혼밥할때 영화보고, 퇴근하고 영화보고, 한미남미스페인인도 영화까지 다 보는 영화충인데요, 지금 이 평점 실화인가요? 영화관 전체가 웃었다-팩트. 단, 영화 수백 장면 중 몇 컷만. 그 외 장면은 웃음포인트가 80년대 코미디 영화에 머물러있어요.",0
이게 천만이라고 헐이다 진짜 ㅋㅋ 수준보소,0
오랜만에 이렇게 웃어보는 영화는 처음이네요!!!,1
그냥 태어나서본 영화중에 젤재밌어요,1
스케일이 이게 모지? 비교되네 미션 거시기랑,0
정말 재밌게봤습니다! 꿀잼!,1
영화사에서 알바를 많이쓰나봐요마녀는 돈아깝고 지루했는데인랑은 간만에 잘만든영화 느낌이었습니다직접보고 판단하세요,1
ㅋㅋ 그냥 평잠 안남기려고 했는데 암적인 존재라길래 남기러옴영화 케릭터이야기 진행에 개연성을 관람객이 찾아야함 ㅋㅋㅋㅋ액션신? 난잡하다 미션임파서블 1이 더 재밌다. 상재야 힘내자,0
가끔 웃긴데 대체적으로 너무 유치하고 억지스러움,0
무조건 봐야하는영화진짜 보는내내 웃다갑니다 배아파여,1
배꼽영화관에두고옴ㅋㅋ,1
진짜 재밌습니다. 보장합니다. 쉴틈없이 웃었습니다. 배우들 연기 너무좋고요 대사도 너무 좋습니다. 진짜 말그대로 미쳤어요. 저 알바아닙니다 갓 성인된 학생입니다. 진짜 제발 봐주세요. 처음으로 평점써요.제발 보세요. 진짜 후회 없으실거에요. 인생영화.,1
폭력이 너무 많이 나와서 불편했어요.,0
재밌어서 두 번 봄! 가볍게 보기 좋은 영화!,1
영화 배경이 2029인데 영화보면 광주운동때 배경임ㅋㅋ,0
재미있는부분이 많아서 실컷 웄었음ㅋㅋ,1
재밌었어요 기대하지않았는데,1
시사회에서 보고왔는데  진짜 웃기고 재미있어요 다들 이거 꼭 보세요,1
내돈 내놔 내돈 ... 재미없다,0
처음부터 끝까지 코미디에 집중한 전략이 성공한 작품이네요. 재미있게 잘 봤습니다.,1
스토리 작품성은 신경끄고 웃김,1
처음부터 끝까지 웃으면서 영화보게 되네요  아주 재밌어요,1
저만 재밌었나여.. 10점은 아니지만 오점대도 아닌거 같은데...,1
반전재미가 있네요 화이팅,1
2차 뛰고 싶은데 상영관이 이렇게나 줄다니 ㅠ,1
특별한 반전없이 그냥 배우들의 코믹한 연기로 끝까지 웃겨주는 영화.생각없이 보기에는 최고인듯.재밋어 아주 재밋어,1
억지웃음이 아닌 진짜웃음인 영화,1
재미있었다 오직 그뿐ㅎ,1
추석때 잘 보겠습니다!,1
기가막힌다.진짜재밌네요,1
중간에 시간 확인 안하고 본 영화는 오랜만이었다,1
유쾌하고 첨부터 끝까지 웃기바빴음,1
너무 웃겨요ㅋㅋㅋ간만에 즐거웠네요^^,1
"좀애매함... 영화관에 사람들 많아가지고 남들이 웃으면 재미있게 볼수도 있을거같은데, 내가볼땐 30명정도 봤는데 별로 안웃겼음...분위기가 중요한듯 빵터지는게 아니다보니 그냥 안웃는분위기..",1
배우들 모두 연기도 좋고 캐릭터도 좋고처음부터 끝까지 겁나 웃김ㅋㅋㅋㅋ보는 내내 웃었음 꼭 보길 추천!!!,1
솔솔하게 재밋고 볼만하다,1
완전재미있어요 추천해요,1
영화 내내 웃겨서 죽는 줄.. 요즘 웃고 싶었는데,1
한국영화 본것 중 제일 많이 웃었음진짜 재밌음,1
올해의 망작..추천합니다^^,0
끝날때까지 스토리며 캐릭터설정이며 무엇하나 이해되는게 없는 영화.. 그냥 철갑옷 입고 아무 이유없이 대충 싸우다 끝나는 영화.,0
줄거리 알고보면 더 재밌는영화! 기대했던만큼 액션신도 훌륭 배우들연기도 좋았다,1
내가 이걸 왜봣지.... 미션임파서블 볼껄..,0
특촬물로 갈거면 확실히 가셔야지..이건 뭐 리얼도 아니고 공상과학영화도 아니고..이도저도 아니고 폼만 잡는 어른들..? 실망이네.,0
이거 되게 재미있어요ㅋㅋㅋㅋ 코미디 액션 좋아하는 사람 이거 강력추천하겠습니닷!,1
"안 웃고 봐바야지, 라는 도전은 한방에 실패했습니다 ㅋㅋㅋ",1
대박꿀잼!!꼭 보시길... 무조건 1300만 이상 갑니다,1
영화  보는 내내 웃었던건 진짜 처음이다.. ㄹㅇ 숨넘어가는줄ㅠㅠ,1
시대 설정이 너무 억지스럽고 각색도 실망이다.,0
진짜 존나재밌음꼭보세여,1
재미없을수가 없는 설정 ㅋㅋ설정이 다했다 ㄱㅊ재밌음,1
재미 있네요다섯명의 형사님들  멋있네요~명품배우들  연기도  짱입니다^^~,1
개웃겨요진심웃겨요그냥웃겨요계속웃겨요처음부터웃겨요생각없이웃겨요끝까지웃겨요,1
이런영화가 천만을 넘고 9점을 넘다니..한국 관람객 수준이 참 한심하다 신과함께도 천만 넘고 참...우리나라 관람객은 수준 낮고 광고좀 때리고 적당히 웃기면 천만 넘는듯...이러니 점점 한국영화 수준이 떨어지지,1
그럭저럭한 영화네요  딱히 재미있지는 않아요,0
내안의그놈보다재미없음평점5지게높네이거ㅡㅡ알바지린다,0
별 생각없이 보러 갔다가 정말 재밌게 보고 온 영화,1
나문재인뽑았다 정치적개소리말고 영화만 보고 애기한다. 킬링타임도 내시간인데 아깝더라,0
오랜만에 웃을수있었음 지루한게없이 재미있음,1
즐겁게 웃다 나왔어요^^,1
완전 재밌어요 꼭 보세욬ㅋㅋ,1
이거 너무한거 아니냐...?,0
재밌어요ㅋㅋ이동휘 잘생겼네요!!!,1
간만에 정말 웃으며 영화봤네요ㅋㅋ,1
액션 너무 재밌게봤어요,1
기대많이했었는데....,1
영화 처음 부터 노잼 이다 통일정부결사반대? ㅋㅋ감독님 작가님 다른일 찾아 보세요,0
무겁지 않게 재밌게 보고왔어요.^^다들 연기잘해요.,1
진짜 영화관에서 웃음소리가 끊기지 않았던 영화,1
적당히 볼만했어요~~,1
진짜 재밌는 영화!! 보는 내내 즐거웠어요~,1
친구랑 보고왔는데 너무 웃어서 힘빠지네요,1
뭐지.. ; 그정돈아닌데,0
재밌게 봤습니다 웃음코드가 빵빵떠지네요,1
리얼보고 비교해봐야지..,0
조센징들은 영화 만들지 마라,0
졸잼ㅋㅋㅋ다들 매력 대박이예여ㅋㅋㅋ,1
중간에 약간 지루했으나 후반에 매우 재밌었습니다이정도면 천만찍을듯,1
엄마와 같이 즐겁게 봤습니다!,1
감동이 있는 코믹드라마 어설픈 것 까지 재미있는,1
배우들의 매력이 사방에서 터져나옴,1
저만 재미있었나보네요ㅠㅠ 엄청 재밌게 봤어요!,1
댓글알바들이 백날 용쓰고 해도...더욱더 욕만 먹을 뿐입니다. 한국영화는 알바들이 너무나도 판치고 있음을 잘 알겠네요. 앞으로 강동원씨 주연은 무조건 거르겠습니다. 임파서블 보세요 여러분들...진심으로 보지마세요.,0
엄청 재밌다는 소리듣고 갔는데 그냥 진짜 이거 안본사람 없게해주세요ㅠㅠ너무 재밌어요,1
"재밌었어요. 웃기고, 스토리도 뭐나쁘지 않고!",1
지금까지 이런 영화는 없었다 정말 재미있게 봤던 영화였습니다!!,1
개꿀잼 아 완젼 재밌어요,1
그냥 딱 재밌는 한국영화입니다 ㅎ 연휴 가족들끼리 보기 좋아요,1
와우 역시 한영믿거 다음부터 거릅니다,0
이거 보고 오랫만에 원작다시봄. 원작이 이렇게 심오했던가. 암튼 원작에는 못미치는 약간 가벼운영화로 재해석됐지만 최악까진 아니었음. 다만 총탄 튀기는 소리는 정말 끔찍하더란. 어렸을때 태권브이에나 나올법한 효과음이어서 집중이 안되어 혼났음.,1
너무재밌게봤어요~~~!!!,1
???: 로맨스가 없으면 영화가 흥행합니까 안합니까?,0
강동원 한효주한테 삥 뜯긴 기분이네,0
shinee is back,0
여주좀...바꾸지왜,0
감독이 코미디에 재능이 없다. 뻔하게 웃기려고 애쓰고 유치함.,0
완전 처음부터 끝까지 안웃긴적이없음,1
너무 재미없고.. 액션신 마저도 지루함...,0
10번 보라고 해도 볼만한 값어치가 있는 작품,1
베테랑 미만잡ㅋㅋㅋㅋ,0
위성락에 의한 위성락을 위한 위성락이 캐리한 영화~ 간만에 정치적선동 없고 진부한 신파극 없는 참신한영화였음,1
재밌네요 솔직히 8.5는 되는거 같아요ㅎ 한효주님 강동원님 힘내세요 응원합니다^^,1
"완전 우껴요 ㅎㅎㅎ주연,조연,단역 배우들 모두 케릭터에 충실했고 멋졌어요^^덕분에 즐거웠습니다^^",1
예고편 무수히 봤는데도 너무 웃겼어요오랜만에 재밌는 영화 나왔네요,1
"코미디 영화로 진짜 완벽 ㅠㅠㅠㅠ 첨부터 끝까지 웃겼고 억지감동 없어서 조아따 ㅠㅠ 덤으로 액션도 최고엿음,,",1
진선규 배우분이 범죄도시에이어 OOO기 잘 봤습니다 영화관에서 다시봐도 재밌을 영화 .,1
이정도면 볼만하구만 1점 희석용이다,1
보지마!보지말라는데 꼭 더 보고  돈 날리는 놈들이 있어요 ㅉㅉ,0
재미도 없고 애미도 없다,0
강동원 너무 섹시하게 나옴,1
군더더기 없이 깔끔하다. 영화에서나 나올법한 장면들을 상상했다가 현실감과  맞아 떨어지는 장면에서는 웃지 않을수가 없다.  비비꼬아두고  현실과 거리가먼 액션장면 많은 영화보다 이런영화가 백배천배는 통쾌하고 재미있다.,1
연기 한계있는 분들 모아서..고생하셨습니다..영회개봉 전에  국민들을  분노케 한  배우님의  팀킬도  큰 영향을 끼쳤을듯 ㅎ   본전이라도 건져야될텐데,0
이런 영화 만들면 제발 영화계에서 퇴출시켜라 쫌,0
진선규 형님의 멱살 캐리입니다,1
개웃김!!영화보기전에는 치킨먹고싶을줄 알았는데 오히려 치킨안먹고싶음!!그리고 진선규 연기 존나잘한다 류승룡 마지막 말도 웃기고 그냥 캐미가 다 했다,1
오랜만에 웃었네요~ 진짜 재밌어요,1
올해 본 영화중에서 가장 유쾌하게 재밌게 봤습니다.,1
넘잼잇게봣엇요ㅎㅎㅎ,1
나는 한번도 안웃었다. 웃음코드가 다른가봄.. 억지 상황이나 대놓고 웃기려는 대사와 상황에 웃음이 전혀 안터져서 아쉬웠음.,0
와 이건 진짜 첨부터 끝까지 계속웃음 이런영화 많이 만들었으면 .,1
"재밌고,재밌다! 코믹영화다운영화",1
"강동원, 최민호 연기력이 좋았고 러닝타임도 생각보다 길지 않았어요",1
재미있었어요! 주제가 독특해서 신선했어요,1
보진 않았찌만... 평점 심각하네;; 좋은 배우들 많은데 어쩌다 이런 영화를 찍었대.ㅣ;,0
방금보고왔는데평점7점대입니다.평점좋아설마하고보고왔는데 역시나였습니다.별루에요,0
극한직업2해주떼여~^^소문듣고 봤는데도 처음부터 끝까지 너무 유쾌하게 봤네요,1
몇일전  킹덤 류승룡님 보다가  극한직업영화 초반부터  빵 터졌어요 ㅋㅋㅋ  중간에 살짝? 지루하려다가  또 빵빵   영화자체가  말 장난  최고 ㅎㅎ   신하균님  말투도  너무  재밌었어요  배우마다 역할 진짜진짜  최고!!,1
유쾌하게 잘 만든 영화같아요. 재밌게 봤습니다~^^,1
2번이나 봤는데 똑같이 웃겼어요!,1
영화보면서 잘안웃는데 (안웃기니까) 간만에 웃으면서 본영화 끝까지 빵빵 터지고 배우들 연기가 완전 찰떡궁합!!!!,1
